day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2025-04-15,-0.03356063644872309,-251.0,7479.0,27.5,36,-44
2025-04-16,0.051567055393586005,566.0,10976.0,60.0,-44,36
2025-04-21,0.02701212789415656,196.0,7256.0,20.0,-44,36
2025-04-22,-0.0282950423216445,-234.0,8270.0,-12.5,-44,36
2025-04-23,0.015106853352984525,164.0,10856.0,36.25,36,-44
2025-04-25,-0.00990990990990991,-88.0,8880.0,-38.75,36,-44
2025-04-29,0.0130881557598702,121.0,9245.0,42.5,-44,36
2025-04-30,0.013175906913073238,154.0,11688.0,-33.75,36,-44
2025-05-02,0.029827315541601257,228.0,7644.0,15.0,36,-44
2025-05-05,0.024943310657596373,187.0,7497.0,1.25,36,-44
2025-05-07,-0.004317890068852841,-37.0,8569.0,-1.25,36,-44
2025-05-09,0.05411637054116371,399.0,7373.0,20.0,-44,36
2025-05-15,0.009284287225290868,79.0,8509.0,26.25,-44,36
2025-05-16,-0.042585020444799046,-427.0,10027.0,-37.5,-44,36
2025-05-19,0.03875968992248062,410.0,10578.0,42.5,-44,36
2025-05-20,0.052854122621564484,400.0,7568.0,12.5,36,-44
2025-05-23,0.07647152149769951,964.0,12606.0,25.0,-44,36
2025-05-27,-0.05664916885389326,-518.0,9144.0,-11.25,36,-44
2025-05-28,-0.023575638506876228,-192.0,8144.0,10.0,-44,36
2025-05-30,-0.06680085545351616,-531.0,7949.0,-42.5,-44,36
2025-06-03,-0.05332522303325223,-526.0,9864.0,-5.0,-44,36
2025-06-06,0.01729200652528548,159.0,9195.0,-7.5,36,-44
2025-06-09,-0.03727395743633903,-303.0,8129.0,-16.25,36,-44
2025-06-10,-0.02225392296718973,-156.0,7010.0,13.75,-44,36
2025-06-11,-0.03474827245804541,-352.0,10130.0,-28.75,-44,36
2025-06-12,-0.027182866556836903,-198.0,7284.0,13.75,36,-44
2025-06-16,0.016984045290787442,132.0,7772.0,52.5,-44,36
2025-06-17,0.01376791233492554,98.0,7118.0,18.75,-44,36
2025-06-18,-0.04016424996791993,-313.0,7793.0,-45.0,36,-44
2025-06-23,-0.037070854638422204,-406.0,10952.0,-58.75,-44,36
2025-06-24,-0.007303478762252546,-76.0,10406.0,3.75,-44,36
