BurstId,fecha,year,family,burst_side,strategy_decision_timestamp_utc,Burst_Feature_Available_Timestamp_UTC,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Level_Band_Dwell_Ratio,Rejected_Side_Dwell_Ratio,Reclaim_Count,Momentum_Survival_Ratio,Path_Efficiency,Model_Eligibility,decision_utc,feature_available_utc,response_available_utc,response_after_decision_ms,response_window_ms
LB_20230630_093123_BUY_0001,2023-06-30,2023,B_CLEAN_BREAKOUT,BUY,2023-06-30T13:31:24.087132Z,2023-06-30T13:31:24.0154860Z,2023-06-30T13:31:25.0000000Z,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2023-06-30 13:31:24.087132+00:00,2023-06-30 13:31:24.015486+00:00,2023-06-30 13:31:25+00:00,912.868,984.514
LB_20230718_093258_SELL_0002,2023-07-18,2023,B_CLEAN_BREAKOUT,SELL,2023-07-18T13:32:59.057619Z,,,,,,,,,,,,,,2023-07-18 13:32:59.057619+00:00,,,,
LB_20230720_093345_SELL_0001,2023-07-20,2023,A_TRUE_ABSORPTION,SELL,2023-07-20T13:33:46.040713Z,,,,,,,,,,,,,,2023-07-20 13:33:46.040713+00:00,,,,
LB_20230727_093300_BUY_0001,2023-07-27,2023,B_CLEAN_BREAKOUT,BUY,2023-07-27T13:33:01.089165Z,2023-07-27T13:33:01.0190470Z,2023-07-27T13:33:02.0000000Z,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2023-07-27 13:33:01.089165+00:00,2023-07-27 13:33:01.019047+00:00,2023-07-27 13:33:02+00:00,910.8349999999999,980.953
LB_20230808_093726_SELL_0001,2023-08-08,2023,A_TRUE_ABSORPTION,SELL,2023-08-08T13:37:27.058667Z,2023-08-08T13:37:27.0006500Z,2023-08-08T13:37:28.0000000Z,1.0,-3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,POST_BURST_ONLY,2023-08-08 13:37:27.058667+00:00,2023-08-08 13:37:27.000650+00:00,2023-08-08 13:37:28+00:00,941.333,999.3499999999999
LB_20230824_093139_SELL_0001,2023-08-24,2023,B_CLEAN_BREAKOUT,SELL,2023-08-24T13:31:40.065524Z,2023-08-24T13:31:40.0014090Z,2023-08-24T13:31:41.0000000Z,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-08-24 13:31:40.065524+00:00,2023-08-24 13:31:40.001409+00:00,2023-08-24 13:31:41+00:00,934.476,998.591
LB_20230825_093257_BUY_0001,2023-08-25,2023,A_TRUE_ABSORPTION,BUY,2023-08-25T13:32:58.084006Z,2023-08-25T13:32:58.0110190Z,2023-08-25T13:32:59.0000000Z,1.0,-2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-08-25 13:32:58.084006+00:00,2023-08-25 13:32:58.011019+00:00,2023-08-25 13:32:59+00:00,915.994,988.981
LB_20230829_093105_SELL_0001,2023-08-29,2023,A_TRUE_ABSORPTION,SELL,2023-08-29T13:31:06.065128Z,2023-08-29T13:31:06.0190829Z,2023-08-29T13:31:07.0000000Z,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2023-08-29 13:31:06.065128+00:00,2023-08-29 13:31:06.019082900+00:00,2023-08-29 13:31:07+00:00,934.8720000000001,980.9171
LB_20230831_093357_BUY_0001,2023-08-31,2023,A_TRUE_ABSORPTION,BUY,2023-08-31T13:33:58.049564Z,2023-08-31T13:33:58.0006949Z,2023-08-31T13:33:59.0000000Z,1.0,-3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-08-31 13:33:58.049564+00:00,2023-08-31 13:33:58.000694900+00:00,2023-08-31 13:33:59+00:00,950.4359999999999,999.3050999999999
LB_20230905_093500_SELL_0002,2023-09-05,2023,C_MIXED_PATH,SELL,2023-09-05T13:35:01.010477Z,2023-09-05T13:35:01.0020939Z,2023-09-05T13:35:02.0000000Z,1.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2023-09-05 13:35:01.010477+00:00,2023-09-05 13:35:01.002093900+00:00,2023-09-05 13:35:02+00:00,989.523,997.9061
