fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2024-04-01,09:33:21,BUY,6,Excelente,Excelente,FALSE,TP,+46,50,0,46,46,46.0,positive before +100,score_trade_result_2024-04-01_NY.csv
2024-04-02,09:33:59,BUY,10,Excelente,Advertencia,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2024-04-02_NY.csv
2024-04-04,09:35:03,BUY,7,Excelente,Advertencia,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-04-04_NY.csv
2024-04-08,09:35:12,SELL,8,Excelente,Normal,FALSE,TP,+31,35,5,31,31,31.0,positive before +100,score_trade_result_2024-04-08_NY.csv
2024-04-17,09:35:06,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-04-17_NY.csv
2024-05-02,09:31:13,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-05-02_NY.csv
2024-05-06,09:37:17,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-05-06_NY.csv
2024-05-13,09:33:13,SELL,5,Excelente,Riesgo de reversion,TRUE,TP,+51,55,15,51,51,51.0,positive before +100,score_trade_result_2024-05-13_NY.csv
2024-05-14,09:33:57,BUY,10,Excelente,Normal,FALSE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-05-14_NY.csv
2024-05-17,09:34:08,SELL,8,Excelente,Normal,TRUE,SL,-20,15,20,20,20,-20.0,negative before -40,score_trade_result_2024-05-17_NY.csv
2024-05-20,09:33:03,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-05-20_NY.csv
2024-05-23,09:31:05,SELL,8,Excelente,Normal,FALSE,TP,+21,25,0,21,21,21.0,positive before +100,score_trade_result_2024-05-23_NY.csv
2024-05-28,09:36:11,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-05-28_NY.csv
2024-05-30,09:34:08,SELL,6,Excelente,Excelente,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-05-30_NY.csv
2024-06-03,09:32:41,SELL,10,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2024-06-03_NY.csv
2024-06-07,09:34:49,BUY,10,Excelente,Riesgo de reversion,TRUE,TP,+60,60,25,60,60,60.0,positive before +100,score_trade_result_2024-06-07_NY.csv
2024-06-11,09:34:06,SELL,8,Excelente,Excelente,FALSE,TP,+60,60,10,60,60,60.0,positive before +100,score_trade_result_2024-06-11_NY.csv
2024-06-17,09:35:10,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-06-17_NY.csv
2024-06-20,09:32:09,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-06-20_NY.csv
2024-07-02,09:32:07,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,5,60,60,60.0,positive before +100,score_trade_result_2024-07-02_NY.csv
2024-07-03,09:34:11,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-07-03_NY.csv
2024-07-08,09:35:06,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+26,30,20,26,26,26.0,positive before +100,score_trade_result_2024-07-08_NY.csv
2024-07-16,09:32:12,SELL,10,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-07-16_NY.csv
2024-07-18,09:32:21,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-07-18_NY.csv
2024-07-24,09:33:05,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-07-24_NY.csv
2024-07-26,09:34:08,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-07-26_NY.csv
2024-07-29,09:31:12,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-07-29_NY.csv
2024-08-01,09:33:09,BUY,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2024-08-01_NY.csv
2024-08-05,09:32:06,BUY,5,Excelente,Riesgo de reversion,FALSE,TP,+30,30,5,30,60,30.0,positive before +100,score_trade_result_2024-08-05_NY.csv
2024-08-06,09:32:24,BUY,6,Excelente,Normal,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-08-06_NY.csv
2024-08-08,09:37:26,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+60,60,35,60,60,60.0,positive before +100,score_trade_result_2024-08-08_NY.csv
2024-08-13,09:34:12,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-08-13_NY.csv
2024-08-14,09:35:06,SELL,9,Excelente,Riesgo de reversion,TRUE,TP,+30,30,10,30,60,30.0,positive before +100,score_trade_result_2024-08-14_NY.csv
2024-08-23,09:31:10,SELL,6,Excelente,Excelente,FALSE,TP,+21,25,0,21,21,21.0,positive before +100,score_trade_result_2024-08-23_NY.csv
2024-08-29,09:31:41,BUY,8,Excelente,Excelente,FALSE,TP,+46,50,25,46,46,46.0,positive before +100,score_trade_result_2024-08-29_NY.csv
