fecha,BurstId,prediction_timestamp,causal_first_timestamp,causal_last_timestamp,source,status,observed_clv,recomputed_clv,absolute_formula_error,timestamp_ok,source_ok,observation_count_ok,formula_ok,causal_row_ok,decision
2024-04-04,LB_20240404_093500_BUY_0001,2024-04-04 13:35:01.030774+00:00,2024-04-04 13:35:01.030774+00:00,2024-04-04 13:35:01.030774+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-05,LB_20240405_093248_SELL_0001,2024-04-05 13:32:49.085073900+00:00,2024-04-05 13:32:49.085073900+00:00,2024-04-05 13:32:49.085073900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-09,LB_20240409_093342_SELL_0001,2024-04-09 13:33:42.995932900+00:00,2024-04-09 13:33:42.995932900+00:00,2024-04-09 13:33:42.995932900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-11,LB_20240411_093157_SELL_0001,2024-04-11 13:31:58.001596+00:00,2024-04-11 13:31:58.001596+00:00,2024-04-11 13:31:58.001596+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-17,LB_20240417_093502_SELL_0001,2024-04-17 13:35:03.028001900+00:00,2024-04-17 13:35:03.028001900+00:00,2024-04-17 13:35:03.028001900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-18,LB_20240418_093109_SELL_0001,2024-04-18 13:31:10.020510+00:00,2024-04-18 13:31:10.020510+00:00,2024-04-18 13:31:10.020510+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-23,LB_20240423_093145_BUY_0001,2024-04-23 13:31:46.013628900+00:00,2024-04-23 13:31:46.013628900+00:00,2024-04-23 13:31:46.013628900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-04-26,LB_20240426_093151_SELL_0001,2024-04-26 13:31:51.971715+00:00,2024-04-26 13:31:51.971715+00:00,2024-04-26 13:31:51.971715+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-02,LB_20240502_093112_SELL_0001,2024-05-02 13:31:13.075808+00:00,2024-05-02 13:31:13.075808+00:00,2024-05-02 13:31:13.075808+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-03,LB_20240503_093157_SELL_0001,2024-05-03 13:31:58.173092900+00:00,2024-05-03 13:31:58.173092900+00:00,2024-05-03 13:31:58.173092900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-06,LB_20240506_093100_SELL_0001,2024-05-06 13:31:00.994964+00:00,2024-05-06 13:31:00.994964+00:00,2024-05-06 13:31:00.994964+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-10,LB_20240510_093420_BUY_0001,2024-05-10 13:34:21.121966900+00:00,2024-05-10 13:34:21.121966900+00:00,2024-05-10 13:34:21.121966900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-20,LB_20240520_093220_BUY_0001,2024-05-20 13:32:21.045704+00:00,2024-05-20 13:32:21.045704+00:00,2024-05-20 13:32:21.045704+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-05-28,LB_20240528_093142_BUY_0001,2024-05-28 13:31:43.016359900+00:00,2024-05-28 13:31:43.016359900+00:00,2024-05-28 13:31:43.016359900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-03,LB_20240603_093113_BUY_0001,2024-06-03 13:31:14.064275+00:00,2024-06-03 13:31:14.064275+00:00,2024-06-03 13:31:14.064275+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-05,LB_20240605_093547_SELL_0002,2024-06-05 13:35:48.032866900+00:00,2024-06-05 13:35:48.032866900+00:00,2024-06-05 13:35:48.032866900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-06,LB_20240606_093413_BUY_0001,2024-06-06 13:34:14.079319+00:00,2024-06-06 13:34:14.079319+00:00,2024-06-06 13:34:14.079319+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-10,LB_20240610_093421_BUY_0001,2024-06-10 13:34:22.129858+00:00,2024-06-10 13:34:22.129858+00:00,2024-06-10 13:34:22.129858+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-11,LB_20240611_093350_BUY_0001,2024-06-11 13:33:51.059816+00:00,2024-06-11 13:33:51.059816+00:00,2024-06-11 13:33:51.059816+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-13,LB_20240613_093209_BUY_0001,2024-06-13 13:32:10.102990900+00:00,2024-06-13 13:32:10.102990900+00:00,2024-06-13 13:32:10.102990900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-06-14,LB_20240614_093644_BUY_0001,2024-06-14 13:36:45.081257900+00:00,2024-06-14 13:36:45.081257900+00:00,2024-06-14 13:36:45.081257900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-08,LB_20240708_093223_BUY_0001,2024-07-08 13:32:24.006881900+00:00,2024-07-08 13:32:24.006881900+00:00,2024-07-08 13:32:24.006881900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-12,LB_20240712_093101_BUY_0001,2024-07-12 13:31:01.997764900+00:00,2024-07-12 13:31:01.997764900+00:00,2024-07-12 13:31:01.997764900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-15,LB_20240715_093321_BUY_0001,2024-07-15 13:33:22.059268900+00:00,2024-07-15 13:33:22.059268900+00:00,2024-07-15 13:33:22.059268900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-16,LB_20240716_093212_BUY_0001,2024-07-16 13:32:13.083597900+00:00,2024-07-16 13:32:13.083597900+00:00,2024-07-16 13:32:13.083597900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-18,LB_20240718_093155_SELL_0001,2024-07-18 13:31:56.014695+00:00,2024-07-18 13:31:56.014695+00:00,2024-07-18 13:31:56.014695+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-22,LB_20240722_093156_SELL_0001,2024-07-22 13:31:56.995399+00:00,2024-07-22 13:31:56.995399+00:00,2024-07-22 13:31:56.995399+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-26,LB_20240726_093346_SELL_0001,2024-07-26 13:33:47.050212+00:00,2024-07-26 13:33:47.050212+00:00,2024-07-26 13:33:47.050212+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-07-30,LB_20240730_093638_BUY_0001,2024-07-30 13:36:39.039649+00:00,2024-07-30 13:36:39.039649+00:00,2024-07-30 13:36:39.039649+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-08,LB_20240808_093753_SELL_0001,2024-08-08 13:37:54.045415900+00:00,2024-08-08 13:37:54.045415900+00:00,2024-08-08 13:37:54.045415900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-13,LB_20240813_093126_BUY_0001,2024-08-13 13:31:27.051292900+00:00,2024-08-13 13:31:27.051292900+00:00,2024-08-13 13:31:27.051292900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-14,LB_20240814_093352_SELL_0001,2024-08-14 13:33:53.062585900+00:00,2024-08-14 13:33:53.062585900+00:00,2024-08-14 13:33:53.062585900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-15,LB_20240815_093200_BUY_0001,2024-08-15 13:32:01.032704900+00:00,2024-08-15 13:32:01.032704900+00:00,2024-08-15 13:32:01.032704900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-20,LB_20240820_093307_BUY_0001,2024-08-20 13:33:08.114091900+00:00,2024-08-20 13:33:08.114091900+00:00,2024-08-20 13:33:08.114091900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-08-29,LB_20240829_093133_BUY_0001,2024-08-29 13:31:34.053892+00:00,2024-08-29 13:31:34.053892+00:00,2024-08-29 13:31:34.053892+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-09-03,LB_20240903_093100_SELL_0001,2024-09-03 13:31:01.054393900+00:00,2024-09-03 13:31:01.054393900+00:00,2024-09-03 13:31:01.054393900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-09-16,LB_20240916_093207_SELL_0001,2024-09-16 13:32:07.999488+00:00,2024-09-16 13:32:07.999488+00:00,2024-09-16 13:32:07.999488+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-09-24,LB_20240924_093220_SELL_0001,2024-09-24 13:32:20.963918+00:00,2024-09-24 13:32:20.963918+00:00,2024-09-24 13:32:20.963918+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-09-25,LB_20240925_093353_BUY_0001,2024-09-25 13:33:54.194009900+00:00,2024-09-25 13:33:54.194009900+00:00,2024-09-25 13:33:54.194009900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-10-01,LB_20241001_093239_SELL_0001,2024-10-01 13:32:39.992596900+00:00,2024-10-01 13:32:39.992596900+00:00,2024-10-01 13:32:39.992596900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-10-02,LB_20241002_093232_SELL_0001,2024-10-02 13:32:33.065570900+00:00,2024-10-02 13:32:33.065570900+00:00,2024-10-02 13:32:33.065570900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2024-10-03,LB_20241003_093718_SELL_0001,2024-10-03 13:37:19.045277+00:00,2024-10-03 13:37:19.045277+00:00,2024-10-03 13:37:19.045277+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
