feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
Velocity1s,26,61,-0.4230769230769231,1.0,3.500549407428233,-5.5,-3.0,2.0,3.0,0.36065573770491804,1.0,4.9194606306154,-5.0,-4.0,3.0,5.0,-0.1723126346114017,-0.08511979823455233,0.8058007566204288,0.5321692452923948,0.3226180208958693,0.4032992959794434,0.46393005522224023,0.4657671164417791,-2.603467843631778,0.9158575031525832,1.0,1.0,0.08511979823455233
TicksPerSecond,26,61,-0.4230769230769231,1.0,3.500549407428233,-5.5,-3.0,2.0,3.0,0.36065573770491804,1.0,4.9194606306154,-5.0,-4.0,3.0,5.0,-0.1723126346114017,-0.08511979823455233,0.8058007566204288,0.5321692452923948,0.3226180208958693,0.4032992959794434,0.46393005522224023,0.48125937031484256,-2.517481084489281,0.9646279949558607,1.0,1.0,0.08511979823455233
Velocity3s,26,61,-0.14102564102564108,0.5,1.738896398225232,-2.666666666666667,-1.666666666666667,1.0,1.8333333333333335,0.12568306010928965,0.333333333333333,2.058553910292035,-2.0,-1.666666666666667,1.666666666666667,2.333333333333333,-0.13539001796479408,-0.08259773013871374,0.7780580075662042,0.5456522429437807,0.8680750992513274,0.5385770993603353,0.5647468572159291,0.5697151424287856,-1.0514186633039093,0.5332072299285414,1.0,1.0,0.08259773013871374
Signed_Previous_Delta_Share_AtEntry,26,61,-0.028846153846153848,-0.03,0.07212915765912829,-0.135,-0.07,0.025,0.060000000000000005,-0.01934426229508197,-0.02,0.061559425285897966,-0.11,-0.05,0.01,0.06,-0.14652727389912998,-0.08196721311475409,0.7181588902900379,0.5491030718532228,0.5827913862354829,0.5605491252894371,0.5332406106926618,0.5032483758120939,-0.041957124842370755,0.021548076923076902,1.0,1.0,0.08196721311475409
Dist_POC_Ticks,26,61,-0.23076923076923078,5.5,17.79956784263639,-23.0,-15.75,12.75,21.5,1.9836065573770492,8.0,15.894959162450098,-18.0,-13.0,13.0,16.0,-0.13438371961277534,-0.08133669609079446,0.8215636822194199,0.5525526993429459,0.8433511268326515,0.5865264398632616,0.5676378810193586,0.568215892053973,-9.869136191677175,5.813493064312735,1.0,1.0,0.08133669609079446
TradesPerSecond,26,61,274.38461538461536,267.0,113.69189132847671,163.0,203.0,294.0,458.0,269.0983606557377,229.0,131.16792099163484,142.0,178.0,305.0,441.0,0.0418616352110699,0.07881462799495587,0.7459016393442623,0.565329654077935,0.6165415231321889,0.8505063896894548,0.8585715847720109,0.862568715642179,-48.14296973518283,63.81833228247159,1.0,1.0,0.07881462799495587
Delta3s,26,61,-2.1538461538461537,167.0,230.7664953684035,-266.5,-210.75,195.75,211.5,25.278688524590162,155.0,232.05804813649112,-236.0,-183.0,202.0,283.0,-0.1184075523093621,-0.07818411097099622,0.8656998738965951,0.5684820703858395,0.5591114033135407,0.6147029280629882,0.614475169973738,0.631184407796102,-128.73337011349307,77.14864438839837,1.0,1.0,0.07818411097099622
CumulativeDeltaWindow,26,61,-2.1538461538461537,167.0,230.7664953684035,-266.5,-210.75,195.75,211.5,25.278688524590162,155.0,232.05804813649112,-236.0,-183.0,202.0,283.0,-0.1184075523093621,-0.07818411097099622,0.8656998738965951,0.5684820703858395,0.5591114033135407,0.6147029280629882,0.614475169973738,0.5947026486756621,-130.80854350567466,75.3219892812105,1.0,1.0,0.07818411097099622
Delta1s,26,61,-7.346153846153846,123.5,206.183596303429,-251.0,-184.5,159.5,186.5,17.114754098360656,123.0,200.52922466651884,-237.0,-173.0,166.0,227.0,-0.12096862933131687,-0.07566204287515763,0.8493064312736445,0.5811110121784773,0.9588356213043446,0.6120114213392903,0.6068510604926687,0.600199900049975,-111.35340479192936,65.7421185372005,1.0,1.0,0.07566204287515763
Seconds_From_Open_AtEntry,26,61,200.62024999999997,195.033,97.14004865641462,75.54855,122.29215,273.072125,301.529,194.7973442622951,178.084,106.56469173592244,66.0473,104.003,262.1299,355.0552,0.056053327651213174,0.07313997477931904,0.7717528373266078,0.5939160463855973,0.9450493256741236,0.8047390329961953,0.8114274607579594,0.8190904547726137,-39.04939185372009,51.39152277900371,1.0,1.0,0.07313997477931904
Prior_Closed_ATR3_Ticks_AtEntry,26,61,71.15461538461538,62.5,26.29139680287363,44.17,52.085,84.5825,112.5,72.24081967213115,70.0,22.659027508926176,43.33,55.0,86.67,110.0,-0.045667569676954976,-0.06998738965952081,0.8379571248423708,0.6098672760331001,0.8762129435953901,0.8552237821943225,0.8458704730922221,0.8465767116441779,-12.648286097099612,10.211390762925586,1.0,1.0,0.06998738965952081
Delta10s,26,61,19.807692307692307,179.0,258.1055627809318,-294.5,-236.25,244.75,295.0,31.442622950819672,153.0,283.31069662063965,-298.0,-238.0,276.0,349.0,-0.04213473044820678,-0.06935687263556116,0.7597730138713745,0.6133017530679523,0.41652937891052744,0.8525233918169748,0.8576589317410374,0.8305847076461769,-122.58470996216897,118.02503152585116,1.0,1.0,0.06935687263556116
mean_trade_size,26,61,1.2493232058598371,1.2097874365482233,0.16429131121141607,1.1182765555487841,1.1344577647726255,1.3125793509725254,1.4226440677966101,1.2929929279259482,1.1795918367346938,0.28547241113307836,1.0798611111111112,1.114678899082569,1.3357142857142856,1.846938775510204,-0.1706783163172102,0.06935687263556116,0.7559899117276165,0.6133114552054787,0.38139010232688003,0.3728992487484066,0.46816616231549213,0.4622688655672164,-0.13730780722019006,0.04898579251904444,1.0,1.0,0.06935687263556116
month_index,26,61,6.269230769230769,6.0,1.8012815950359855,4.5,5.0,7.0,9.0,6.557377049180328,6.0,2.069819558672804,4.0,5.0,8.0,10.0,-0.1444635993438602,-0.06746532156368222,0.7686002522068095,0.6186916027328694,0.9306092078430939,0.516862014835626,0.5390096360804576,0.5677161419290355,-1.127017654476671,0.5788461538461538,1.0,1.0,0.06746532156368222
seconds_from_open,26,61,200.57692307692307,195.0,97.13008723435722,75.5,122.25,273.0,301.5,194.75409836065575,178.0,106.55650390562823,66.0,104.0,262.0,355.0,0.056057225525562866,0.06683480453972257,0.7717528373266079,0.6263163370259168,0.9450493256741236,0.8047237274209105,0.8114145989546371,0.8220889555222389,-40.19813997477931,51.846153846153825,1.0,1.0,0.06683480453972257
