feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Velocity5s,PERSISTENCE_EXHAUSTION,-0.1863048601839335,0.018273120190867954,-0.03983804177357134,-0.0011471725650133817,0.02886236734795547,0.025771834397530346,0.01251198785945265,-0.03402778443983967,-0.07374203792549389,0.04467251978046033
Acceleration1s,PERSISTENCE_EXHAUSTION,-0.15848138425877648,0.01734819291985512,-0.054361941320981516,-0.0019149439438334737,0.02573427316811023,0.10859943815145298,-0.014824654454862085,-0.06966873197310464,-0.12444770970471053,0.09617496135677239
Acceleration3s,PERSISTENCE_EXHAUSTION,-0.16778194561083676,0.02059381980290516,-0.05590211452651291,-0.011441706621938778,0.03750952801339586,0.0857360244006925,-0.04018321146469655,-0.07948715903604336,-0.08077852586113386,0.058164419934253614
TicksPerSecond,TIME_REGIME,-0.1822054673558369,0.023795848500286192,-0.055560985513836335,-0.005585382319502345,0.030693965562793683,0.07433243148649878,-0.01626205884623815,-0.07030780963224853,-0.09553653276259637,0.07127749799044636
CumulativeDeltaWindow,FLOW_BURST_QUALITY,-0.19578934844009585,0.019894981876614322,0.013278955605097875,0.04907365650171281,-0.010801336790668291,0.005349300161463595,-0.028613195806301686,0.02677242616449202,0.10162303069596909,0.015741239310662958
OR_WidthTicks,AUCTION_THEORY,0.010442084986538118,0.17838659720434416,-0.18048826971348816,-0.08253630673945372,-0.10779218145930118,0.02766507106608431,0.09376615831263037,-0.14182921051395747,-0.02993062668840099,0.05451588802288715
Dist_OR_High_Ticks,AUCTION_THEORY,-0.17753190632064236,-0.02894592643632849,-0.0339263575398564,-0.017093681984881103,0.03508116593586626,-0.08888912174245266,0.013494125962772352,0.07530686768616257,-0.1311809728562777,-0.061696050615697925
Dist_OR_Low_Ticks,AUCTION_THEORY,-0.16443829024730489,0.05907718830475563,-0.1201317191172686,-0.05644360088464229,-0.01890222829361525,-0.07142643834808612,0.05846557216188305,0.0029610135204755205,-0.13980629257918664,-0.03240893902394247
Dist_VWAP_Ticks,AUCTION_THEORY,-0.18320101355022889,0.015594652099972605,-0.07812728505267603,-0.0416903593580917,0.007316673235492595,-0.05207177380101803,0.04024062379827489,0.019798853995604722,-0.13547322274116486,-0.025141571615343063
Dist_POC_Ticks,AUCTION_THEORY,-0.18153754126122632,0.0003126899236752778,-0.0578104791460714,-0.0528364172151244,-0.009488926320204151,-0.03472444475538222,0.05978533172178304,-0.003384545749026236,-0.13450962222478197,-0.0009627217954457947
Dist_VAH_Ticks,AUCTION_THEORY,-0.18424998980224716,-0.03511866266025055,-0.015248607169412119,-0.04682231648156834,0.023109860703804098,-0.054542973095453855,0.06750475745772476,0.0027647261976612254,-0.11446853195689932,0.02574138604264591
Dist_VAL_Ticks,AUCTION_THEORY,-0.17175442774740682,0.04389123526309709,-0.1188129980471837,-0.041907708378633425,-0.01954304796868525,-0.05821467568047393,0.03762859581787523,0.01572534981892576,-0.1515538416715912,-0.04790916365041262
Dist_HVN_Ticks,AUCTION_THEORY,-0.08413629798442732,-0.019993170276409736,0.037758244951229626,0.1043850757238937,-0.01535461207734967,-0.07328747247389014,0.0066994035418093045,-0.038922142948306454,0.03722522701836322,0.1439241614493492
Dist_LVN_Ticks,AUCTION_THEORY,0.016081880393005208,0.0038938317634492495,-0.03151582439439981,-0.0937050123447127,0.09092156168275452,0.005519602186353304,-0.09388301372422858,0.08210162665962609,-0.055191992229017016,-0.09348443062961263
PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,0.020255998751132126,0.04964409943456494,0.11759957893689173,0.17899383311440029,0.00547617323619106,0.20061973537955188,-0.03256410643442551,-0.09385560689112432,-0.028252085524135353,-0.056546803520483316
PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,-0.00955807753828907,-0.007087511285868174,-0.016203209457738007,-0.07421634849200408,-0.03149701601045713,-0.0075715701694159705,0.05941338681113953,-0.1631037623346857,0.1656763828793426,0.0190396769544378
