comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_REST,2022,Profile_Skewness,AUCTION_THEORY,10,26,0.0854806026074585,-0.091980129007415,1.0,0.1076923076923077
D_vs_REST,2023,Profile_Skewness,AUCTION_THEORY,16,25,0.156547816364485,-0.052979519184732,1.0,0.255
D_vs_REST,2024,Profile_Skewness,AUCTION_THEORY,18,31,0.0716946033244245,0.004319780421084,1.0,0.010752688172043012
D_vs_REST,2025,Profile_Skewness,AUCTION_THEORY,22,21,-0.0744898906555285,-0.120632153532584,1.0,0.09956709956709957
D_vs_REST,2026,Profile_Skewness,AUCTION_THEORY,5,9,0.375312325452195,0.057024758105483,1.0,0.28888888888888886
D_vs_REST,2022,Profile_Excess_Kurtosis,AUCTION_THEORY,10,26,-0.822463328198226,-0.6221793038419815,-1.0,-0.23076923076923078
D_vs_REST,2023,Profile_Excess_Kurtosis,AUCTION_THEORY,16,25,-0.580338391341383,-0.594960862149169,1.0,-0.03
D_vs_REST,2024,Profile_Excess_Kurtosis,AUCTION_THEORY,18,31,-0.461124264646321,-0.428952600211312,-1.0,-0.08960573476702509
D_vs_REST,2025,Profile_Excess_Kurtosis,AUCTION_THEORY,22,21,-0.7692464540560731,-0.743001909561616,-1.0,-0.12987012987012986
D_vs_REST,2026,Profile_Excess_Kurtosis,AUCTION_THEORY,5,9,-0.638137701697122,-0.569699813393522,-1.0,-0.1111111111111111
D_vs_REST,2022,Profile_Normalized_Entropy,AUCTION_THEORY,10,26,0.9364868214572399,0.936523654099637,-1.0,0.16153846153846155
D_vs_REST,2023,Profile_Normalized_Entropy,AUCTION_THEORY,16,25,0.914278421249084,0.910948943325896,1.0,0.13
D_vs_REST,2024,Profile_Normalized_Entropy,AUCTION_THEORY,18,31,0.9243970287800884,0.91556386713868,1.0,0.17204301075268819
D_vs_REST,2025,Profile_Normalized_Entropy,AUCTION_THEORY,22,21,0.929736476934506,0.932163587131904,-1.0,-0.06060606060606061
D_vs_REST,2026,Profile_Normalized_Entropy,AUCTION_THEORY,5,9,0.94641685856022,0.937785207426378,1.0,0.2
