feature_a,family_a,feature_b,family_b,spearman,pearson,abs_spearman,redundant_ge_0_90
Delta1s,FLOW_BURST_QUALITY,PeakPositiveDelta,FLOW_BURST_QUALITY,0.8299064691660184,0.9177203241241239,0.8299064691660184,1
Profile_Effective_Nodes,AUCTION_THEORY,Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,0.8297446215164977,0.8232482437289957,0.8297446215164977,0
Velocity3s,PERSISTENCE_EXHAUSTION,Profile_Position_Percentile,AUCTION_THEORY,0.8294015432614168,0.8122272144680776,0.8294015432614168,0
price_impact_per_100_contracts,EFFORT_VS_RESULT,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,-0.8292596495124175,-0.7496883599440973,0.8292596495124175,0
Delta3s,FLOW_BURST_QUALITY,PeakNegativeDelta,FLOW_BURST_QUALITY,0.8288509637032345,0.9113774336332562,0.8288509637032345,1
PeakNegativeDelta,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,0.8288509637032345,0.9113774336332562,0.8288509637032345,1
Dist_OR_Low_Ticks,AUCTION_THEORY,or_position_fraction,AUCTION_THEORY,0.8273361294383653,0.8230270464418417,0.8273361294383653,0
Delta10s,FLOW_BURST_QUALITY,PeakPositiveDelta,FLOW_BURST_QUALITY,0.8266570829163287,0.883464401823344,0.8266570829163287,0
Delta5s,FLOW_BURST_QUALITY,PeakNegativeDelta,FLOW_BURST_QUALITY,0.8235940179117294,0.9061568535096506,0.8235940179117294,1
Delta2s,FLOW_BURST_QUALITY,PeakPositiveDelta,FLOW_BURST_QUALITY,0.8226314453519271,0.915469529656198,0.8226314453519271,1
Velocity5s,PERSISTENCE_EXHAUSTION,Acceleration3s,PERSISTENCE_EXHAUSTION,0.8207823302683204,0.800179289614663,0.8207823302683204,0
Delta5s,FLOW_BURST_QUALITY,PeakPositiveDelta,FLOW_BURST_QUALITY,0.8203544287932261,0.8983727707479046,0.8203544287932261,0
PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,absorption_pressure_1s,EFFORT_VS_RESULT,-0.8203309288140241,-0.4221330024801401,0.8203309288140241,0
PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,burst_efficiency_score,EFFORT_VS_RESULT,0.8200345737562119,0.8859640543658754,0.8200345737562119,0
Delta2s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8197657556050096,0.8785216370405793,0.8197657556050096,0
Delta1s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8192714863562128,0.8737189139902996,0.8192714863562128,0
Dist_VWAP_Ticks,AUCTION_THEORY,Profile_Position_Percentile,AUCTION_THEORY,0.8177027596554858,0.9054703415027587,0.8177027596554858,1
Dist_VAH_Ticks,AUCTION_THEORY,Profile_Position_Percentile,AUCTION_THEORY,0.8174707375817126,0.876763931497115,0.8174707375817126,0
Velocity5s,PERSISTENCE_EXHAUSTION,Profile_Position_Percentile,AUCTION_THEORY,0.8174163442553998,0.8136350617024107,0.8174163442553998,0
PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,-0.8167677936573471,-0.8916948987057797,0.8167677936573471,0
Velocity1s,PERSISTENCE_EXHAUSTION,Profile_Position_Percentile,AUCTION_THEORY,0.8162666591514006,0.7508983834958154,0.8162666591514006,0
TicksPerSecond,TIME_REGIME,Profile_Position_Percentile,AUCTION_THEORY,0.8162666591514006,0.7508983834958154,0.8162666591514006,0
Delta10s,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.8160711515535046,0.9189940044647305,0.8160711515535046,1
Velocity5s,PERSISTENCE_EXHAUSTION,Acceleration1s,PERSISTENCE_EXHAUSTION,0.8146045881653009,0.7938160185207791,0.8146045881653009,0
Profile_Concentration,AUCTION_THEORY,Profile_Local_Maxima_Count,AUCTION_THEORY,-0.8142193957934305,-0.7197968822369576,0.8142193957934305,0
PeakPositiveDelta,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.8132750069224733,0.9087799875923291,0.8132750069224733,1
CumulativeDeltaWindow,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8126813492176652,0.880927231883059,0.8126813492176652,0
Delta3s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8126813492176652,0.880927231883059,0.8126813492176652,0
Velocity3s,PERSISTENCE_EXHAUSTION,Acceleration1s,PERSISTENCE_EXHAUSTION,0.8118643964896058,0.8228620631593696,0.8118643964896058,0
PeakPositiveDelta,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,0.8114109603672807,0.9143208924232082,0.8114109603672807,1
Delta3s,FLOW_BURST_QUALITY,PeakPositiveDelta,FLOW_BURST_QUALITY,0.8114109603672807,0.9143208924232082,0.8114109603672807,1
Profile_Position_Percentile,AUCTION_THEORY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8101200935697039,0.8386862304591242,0.8101200935697039,0
Dist_OR_High_Ticks,AUCTION_THEORY,Profile_Position_Percentile,AUCTION_THEORY,0.809655002770142,0.8907610478194056,0.809655002770142,0
DeltaChange1s,FLOW_BURST_QUALITY,Delta_AtEntry,FLOW_BURST_QUALITY,0.8085461176804156,0.8569935560645119,0.8085461176804156,0
PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,minute_from_open,TIME_REGIME,0.8074751916459252,0.8310659248958144,0.8074751916459252,0
PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,seconds_from_open,TIME_REGIME,0.8074751916459252,0.831065924895814,0.8074751916459252,0
Velocity1s,PERSISTENCE_EXHAUSTION,Dist_POC_Ticks,AUCTION_THEORY,0.8074734764776099,0.8134914179912031,0.8074734764776099,0
TicksPerSecond,TIME_REGIME,Dist_POC_Ticks,AUCTION_THEORY,0.8074734764776099,0.8134914179912031,0.8074734764776099,0
Body_AtEntry,OTHER_CAUSAL_CONTEXT,Body_OR_Ratio_AtEntry,AUCTION_THEORY,0.8069448064022848,0.7304604460067422,0.8069448064022848,0
Acceleration3s,PERSISTENCE_EXHAUSTION,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8068407435500258,-0.7062367716570466,0.8068407435500258,0
Seconds_From_Open_AtEntry,TIME_REGIME,PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,0.8067941037128437,0.8310794614303345,0.8067941037128437,0
TicksPerSecond,TIME_REGIME,Dist_VWAP_Ticks,AUCTION_THEORY,0.806334103011894,0.8325170417004709,0.806334103011894,0
Velocity1s,PERSISTENCE_EXHAUSTION,Dist_VWAP_Ticks,AUCTION_THEORY,0.806334103011894,0.8325170417004709,0.806334103011894,0
Profile_Concentration,AUCTION_THEORY,Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,-0.8053410606315249,-0.7066242537948797,0.8053410606315249,0
PeakPositiveDelta,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.8051906436766415,0.891540666609113,0.8051906436766415,0
Profile_Position_Percentile,AUCTION_THEORY,or_position_fraction,AUCTION_THEORY,0.80368037567436,0.9095151784864242,0.80368037567436,1
TicksPerSecond,TIME_REGIME,Dist_VAH_Ticks,AUCTION_THEORY,0.799773179552799,0.7942338387008108,0.799773179552799,0
Velocity1s,PERSISTENCE_EXHAUSTION,Dist_VAH_Ticks,AUCTION_THEORY,0.799773179552799,0.7942338387008108,0.799773179552799,0
signed_acceleration_1s,PERSISTENCE_EXHAUSTION,absorption_pressure_1s,EFFORT_VS_RESULT,-0.7990688433525545,-0.40822404179792343,0.7990688433525545,0
Dist_POC_Ticks,AUCTION_THEORY,Profile_Position_Percentile,AUCTION_THEORY,0.798885043563703,0.8675657668344156,0.798885043563703,0
