Detector_VERSION,BurstId,Burst_Timestamp_UTC,Burst_Feature_Available_Timestamp_UTC,Burst_Timestamp_NY,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Side,Burst_Price,Response_Price,Broken_Level,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Reclaim_Count,Rejection_Speed_TPS,Directional_Delta,Response_Volume,Effort_Result_Delta,Effort_Result_Volume,Momentum_Survival_Ratio,Rotation_Index,Local_Entropy,Path_Efficiency,Response_POC_Migration_Ticks,AvailableBeforeEntry,Model_Eligibility,born_bad_group,fecha
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220707_093345_BUY_0001,2022-07-07 13:33:45+00:00,2022-07-07 13:33:46+00:00,2022-07-07 09:33:45,2022-07-07 13:33:51+00:00,5,BUY,11961.25,11962.5,11957.5,1,2,2,1.0,0,0.4,31,283,0.032258064516129,0.003533568904594,0.2,1.0,1.0,0.333333333333333,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-07-07
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220718_093105_SELL_0001,2022-07-18 13:31:05+00:00,2022-07-18 13:31:06+00:00,2022-07-18 09:31:05,2022-07-18 13:31:07+00:00,1,SELL,12096.25,12093.75,12106.25,2,3,1,1.0,0,1.0,72,194,0.027777777777778,0.010309278350515,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-07-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220718_093105_SELL_0001,2022-07-18 13:31:05+00:00,2022-07-18 13:31:06+00:00,2022-07-18 09:31:05,2022-07-18 13:31:09+00:00,3,SELL,12096.25,12095.0,12106.25,1,3,1,1.0,0,0.333333333333333,62,366,0.016129032258065,0.002732240437158,0.666666666666667,1.0,0.91829583405449,0.142857142857143,0,0,POST_BURST_ONLY,A_WINNER,2022-07-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220718_093105_SELL_0001,2022-07-18 13:31:05+00:00,2022-07-18 13:31:06+00:00,2022-07-18 09:31:05,2022-07-18 13:31:11+00:00,5,SELL,12096.25,12095.0,12106.25,1,3,1,1.0,0,0.2,54,502,0.018518518518519,0.00199203187251,0.6,1.0,0.970950594454669,0.111111111111111,0,0,POST_BURST_ONLY,A_WINNER,2022-07-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220719_093600_SELL_0001,2022-07-19 13:36:00+00:00,2022-07-19 13:36:01+00:00,2022-07-19 09:36:00,2022-07-19 13:36:02+00:00,1,SELL,12028.75,12028.75,12047.5,0,1,1,1.0,0,1.0,2,78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-07-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220719_093600_SELL_0001,2022-07-19 13:36:00+00:00,2022-07-19 13:36:01+00:00,2022-07-19 09:36:00,2022-07-19 13:36:04+00:00,3,SELL,12028.75,12028.75,12047.5,0,1,1,1.0,0,0.333333333333333,-10,232,0.0,0.0,0.333333333333333,1.0,1.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-07-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220719_093600_SELL_0001,2022-07-19 13:36:00+00:00,2022-07-19 13:36:01+00:00,2022-07-19 09:36:00,2022-07-19 13:36:06+00:00,5,SELL,12028.75,12030.0,12047.5,-1,1,2,1.0,0,0.4,-78,444,-0.012820512820513,-0.002252252252252,0.2,0.5,0.91829583405449,-0.333333333333333,0,0,POST_BURST_ONLY,A_WINNER,2022-07-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220720_093414_BUY_0001,2022-07-20 13:34:14+00:00,2022-07-20 13:34:15+00:00,2022-07-20 09:34:14,2022-07-20 13:34:16+00:00,1,BUY,12301.25,12300.0,12298.75,-1,0,2,1.0,0,2.0,-12,60,-0.083333333333333,-0.016666666666667,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-07-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220720_093414_BUY_0001,2022-07-20 13:34:14+00:00,2022-07-20 13:34:15+00:00,2022-07-20 09:34:14,2022-07-20 13:34:18+00:00,3,BUY,12301.25,12297.5,12298.75,-3,0,3,0.666666666666667,1,1.0,-22,170,-0.136363636363636,-0.017647058823529,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-07-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220720_093414_BUY_0001,2022-07-20 13:34:14+00:00,2022-07-20 13:34:15+00:00,2022-07-20 09:34:14,2022-07-20 13:34:20+00:00,5,BUY,12301.25,12295.0,12298.75,-5,0,6,0.4,1,1.2,-23,299,-0.217391304347826,-0.016722408026756,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-07-20
