CaseID,fecha,BurstId,burst_side,decision_utc,outcome_path,state_cache_path,pre_overlap_records,overlap_prefix_exact,strict_feature_cutoff_utc_exclusive,year
HB036,2023-06-22,LB_20230622_093240_BUY_0001,BUY,2023-06-22T13:32:41.030000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-06-22_LB_20230622_093240_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230622_093240_BUY_0001.state.parquet,79,True,2023-06-22T13:32:41.030000+00:00,2023
HB037,2023-10-16,LB_20231016_093102_BUY_0001,BUY,2023-10-16T13:31:03.023000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-10-16_LB_20231016_093102_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20231016_093102_BUY_0001.state.parquet,217,True,2023-10-16T13:31:03.023000+00:00,2023
HB038,2023-04-03,LB_20230403_093250_BUY_0001,BUY,2023-04-03T13:32:51.099000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-03_LB_20230403_093250_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230403_093250_BUY_0001.state.parquet,83,True,2023-04-03T13:32:51.099000+00:00,2023
HB039,2024-04-09,LB_20240409_093342_SELL_0001,SELL,2024-04-09T13:33:43.035000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-04-09_LB_20240409_093342_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240409_093342_SELL_0001.state.parquet,131,True,2024-04-09T13:33:43.035000+00:00,2024
HB040,2023-03-21,LB_20230321_093130_BUY_0001,BUY,2023-03-21T13:31:31.049000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-03-21_LB_20230321_093130_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230321_093130_BUY_0001.state.parquet,565,True,2023-03-21T13:31:31.049000+00:00,2023
HB041,2022-07-18,LB_20220718_093105_SELL_0001,SELL,2022-07-18T13:31:06.004000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220718_093105_SELL_0001.state.parquet,221,True,,2022
HB042,2023-07-20,LB_20230720_093345_SELL_0001,SELL,2023-07-20T13:33:46.040000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-07-20_LB_20230720_093345_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230720_093345_SELL_0001.state.parquet,82,True,2023-07-20T13:33:46.040000+00:00,2023
HB043,2023-06-05,LB_20230605_093500_BUY_0001,BUY,2023-06-05T13:35:01.036000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-06-05_LB_20230605_093500_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230605_093500_BUY_0001.state.parquet,261,True,2023-06-05T13:35:01.036000+00:00,2023
HB044,2022-07-29,LB_20220729_093500_SELL_0001,SELL,2022-07-29T13:35:01.099000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-29_LB_20220729_093500_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220729_093500_SELL_0001.state.parquet,186,True,,2022
HB045,2023-06-30,LB_20230630_093123_BUY_0001,BUY,2023-06-30T13:31:24.087000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-06-30_LB_20230630_093123_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230630_093123_BUY_0001.state.parquet,65,True,2023-06-30T13:31:24.087000+00:00,2023
HB046,2024-04-26,LB_20240426_093151_SELL_0001,SELL,2024-04-26T13:31:52.036000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-04-26_LB_20240426_093151_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240426_093151_SELL_0001.state.parquet,282,True,2024-04-26T13:31:52.036000+00:00,2024
