Variable,Nacimiento,Actualizaciones,Congelada,Usable,Clasificacion,Motivo
Delta_With_Side,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Delta_With_Side_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Delta_entry,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Distance_To_SL_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Distance_To_TP_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Drawdown_From_MFE_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mfe($|_)`
Dynamic_Alarm_No_Gestionable_Por_Latencia,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)dynamic($|_)`
Dynamic_Alarm_Reason,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)dynamic($|_)`
Dynamic_Alarm_Seconds_From_Entry,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)dynamic($|_)`
Dynamic_Alarm_Time_NY,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)dynamic($|_)`
Dynamic_Alarm_Triggered,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)dynamic($|_)`
EntryBar,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
EntrySecond_NY,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
EntryTime_NY,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
EntryTime_NY_Milliseconds,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Entry_price,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
Execution_Side_Imbalance_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Execution_Side_Imbalance_Count_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
ExitTime_NY,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SUSPECT,not explicitly classified as causal
ExitTime_NY_Milliseconds,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Exit_price,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)exit($|_)`
Exporter_VERSION,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Future_MAE_After_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)future($|_)`
Future_MFE_After_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)future($|_)`
