feature_a,feature_b,spearman,pearson,abs_spearman,abs_pearson,redundant_ge_0_90
Velocity5s,Dist_POC_Ticks,0.8138968892266463,0.8341441869422099,0.8138968892266463,0.8341441869422099,0
Flow_0_1_TicksPerAggressiveContract,signed_velocity_1s,0.813449635303061,0.7625110411774229,0.813449635303061,0.7625110411774229,0
Velocity5s,Acceleration1s,0.8134186525119004,0.7823490267518174,0.8134186525119004,0.7823490267518174,0
Delta10s,Delta_AtEntry,0.8130555236394056,0.8923506404746052,0.8130555236394056,0.8923506404746052,0
Dist_VAH_Ticks,Profile_Position_Percentile,0.8126962032184365,0.9031991122649802,0.8126962032184365,0.9031991122649802,1
velocity_consistency,flow_price_alignment,0.812467827079893,0.8264046705373186,0.812467827079893,0.8264046705373186,0
Delta5s,Delta_AtEntry,0.812407154854808,0.8807490668873827,0.812407154854808,0.8807490668873827,0
DeltaChange1s,Acceleration3s,0.812405300011611,0.7987068832955208,0.812405300011611,0.7987068832955208,0
Seconds_Since_Prior_Burst,Prior_Closed_ATR5_Ticks_AtEntry,0.8108437164260031,0.8103849413501589,0.8108437164260031,0.8103849413501589,0
Prior_Closed_ATR5_Ticks_AtEntry,Liquidity_Burst_Seconds_Since_Prior_Burst,0.8108437164260031,0.8103849413501589,0.8108437164260031,0.8103849413501589,0
DeltaChange1s,Velocity1s,0.8107540258329697,0.8458695306068935,0.8107540258329697,0.8458695306068935,0
DeltaChange1s,TicksPerSecond,0.8107540258329697,0.8458695306068935,0.8107540258329697,0.8458695306068935,0
Realized_Volatility_10s_Ticks,Realized_Volatility_60s_Ticks,0.8098594784731904,0.7879801743786087,0.8098594784731904,0.7879801743786087,0
signed_acceleration_1s,liquidity_absorption_score,-0.8082354842204981,-0.42710504983245123,0.8082354842204981,0.42710504983245123,0
Realized_Volatility_10s_Ticks,liquidity_absorption_score,-0.8071072053395928,-0.2588352411283077,0.8071072053395928,0.2588352411283077,0
Seconds_From_Open_AtEntry,PreEntry_Volume_Climax_Ratio_AtEntry,0.8061593597836817,0.8448410768882615,0.8061593597836817,0.8448410768882615,0
Velocity5s,Dist_VWAP_Ticks,0.804763725439416,0.83697488724131,0.804763725439416,0.83697488724131,0
Delta10s,Velocity5s,0.80463060017964,0.8491150300562472,0.80463060017964,0.8491150300562472,0
PeakPositiveDelta,DeltaChangeZScore,0.8045102318952219,0.8922737820762334,0.8045102318952219,0.8922737820762334,0
Dist_VAH_Ticks,Delta_AtEntry,0.8033640186758917,0.8271064878665237,0.8033640186758917,0.8271064878665237,0
BuySellRatio,Profile_Position_Percentile,0.8026860251948273,0.8105628490450697,0.8026860251948273,0.8105628490450697,0
Velocity3s,Acceleration1s,0.8020525858275506,0.8092969397850809,0.8020525858275506,0.8092969397850809,0
Delta2s,Delta_AtEntry,0.8014999594565838,0.8705005876740135,0.8014999594565838,0.8705005876740135,0
Dist_OR_High_Ticks,Profile_Position_Percentile,0.8010816957375037,0.904355021335659,0.8010816957375037,0.904355021335659,1
Delta3s,Delta_AtEntry,0.7992610561851887,0.8744210994129572,0.7992610561851887,0.8744210994129572,0
CumulativeDeltaWindow,Delta_AtEntry,0.7992610561851887,0.8744210994129572,0.7992610561851887,0.8744210994129572,0
PreBurst_Local_Entropy_10s,PreBurst_Path_Efficiency_10s,-0.7982202828354777,-0.7111294759693961,0.7982202828354777,0.7111294759693961,0
Dist_VAL_Ticks,Profile_Position_Percentile,0.7974779516680939,0.898853569907859,0.7974779516680939,0.898853569907859,0
Pre_Approach_Distance_Ticks,Time_Since_Last_Prior_Level_Touch_Seconds,-0.7968912908215662,-0.7129936876797868,0.7968912908215662,0.7129936876797868,0
Delta10s,DeltaChangeZScore,0.7968576711821223,0.906664103505757,0.7968576711821223,0.906664103505757,1
Delta5s,Velocity3s,0.7963725674334668,0.8686575361021532,0.7963725674334668,0.8686575361021532,0
DeltaChangeZScore,TicksPerSecond,0.796224894497847,0.8363556274136502,0.796224894497847,0.8363556274136502,0
DeltaChangeZScore,Velocity1s,0.796224894497847,0.8363556274136502,0.796224894497847,0.8363556274136502,0
PreEntry_Volume_Climax_Ratio_AtEntry,Liquidity_Burst_Seconds_Since_Prior_Burst,0.7952427724875442,0.8744525052681169,0.7952427724875442,0.8744525052681169,0
Seconds_Since_Prior_Burst,PreEntry_Volume_Climax_Ratio_AtEntry,0.7952427724875442,0.8744525052681169,0.7952427724875442,0.8744525052681169,0
Delta1s,Acceleration3s,0.7945129518484851,0.7905854311107318,0.7945129518484851,0.7905854311107318,0
Delta2s,Seconds_Since_Prior_Burst,-0.7928249671720918,-0.736918316049372,0.7928249671720918,0.736918316049372,0
Delta2s,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.7928249671720918,-0.736918316049372,0.7928249671720918,0.736918316049372,0
Delta5s,TicksPerSecond,0.7926769502904846,0.8312134559008478,0.7926769502904846,0.8312134559008478,0
