request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2023-07-18_LB_20230718_093258_SELL_0002,DISCOVERY_100,2023-07-18,LB_20230718_093258_SELL_0002,B_CLEAN_BREAKOUT,SELL,2023-07-18T00:00:00.000000Z,2023-07-18T13:32:59.057000Z,13.549738055555556,0.160128977895
NQ_MBO_SNAPSHOT_2023-07-20_LB_20230720_093345_SELL_0001,DISCOVERY_100,2023-07-20,LB_20230720_093345_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-07-20T00:00:00.000000Z,2023-07-20T13:33:46.040000Z,13.562788888888887,0.206292772293
NQ_MBO_SNAPSHOT_2023-07-27_LB_20230727_093300_BUY_0001,DISCOVERY_100,2023-07-27,LB_20230727_093300_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-07-27T00:00:00.000000Z,2023-07-27T13:33:01.089000Z,13.5503025,0.220204263926
NQ_MBO_SNAPSHOT_2023-08-08_LB_20230808_093726_SELL_0001,DISCOVERY_100,2023-08-08,LB_20230808_093726_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-08-08T00:00:00.000000Z,2023-08-08T13:37:27.058000Z,13.624182777777778,0.276681044698
NQ_MBO_SNAPSHOT_2023-08-24_LB_20230824_093139_SELL_0001,DISCOVERY_100,2023-08-24,LB_20230824_093139_SELL_0001,B_CLEAN_BREAKOUT,SELL,2023-08-24T00:00:00.000000Z,2023-08-24T13:31:40.065000Z,13.527795833333334,0.309584480524
NQ_MBO_SNAPSHOT_2023-08-25_LB_20230825_093257_BUY_0001,DISCOVERY_100,2023-08-25,LB_20230825_093257_BUY_0001,A_TRUE_ABSORPTION,BUY,2023-08-25T00:00:00.000000Z,2023-08-25T13:32:58.084000Z,13.549467777777778,0.263965080678
NQ_MBO_SNAPSHOT_2023-08-29_LB_20230829_093105_SELL_0001,DISCOVERY_100,2023-08-29,LB_20230829_093105_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-08-29T00:00:00.000000Z,2023-08-29T13:31:06.065000Z,13.51835138888889,0.21898432821
NQ_MBO_SNAPSHOT_2023-08-31_LB_20230831_093357_BUY_0001,DISCOVERY_100,2023-08-31,LB_20230831_093357_BUY_0001,A_TRUE_ABSORPTION,BUY,2023-08-31T00:00:00.000000Z,2023-08-31T13:33:58.049000Z,13.566124722222222,0.306186966598
NQ_MBO_SNAPSHOT_2023-09-05_LB_20230905_093500_SELL_0002,DISCOVERY_100,2023-09-05,LB_20230905_093500_SELL_0002,C_MIXED_PATH,SELL,2023-09-05T00:00:00.000000Z,2023-09-05T13:35:01.010000Z,13.58361388888889,0.287849347293
NQ_MBO_SNAPSHOT_2023-09-07_LB_20230907_093117_SELL_0001,DISCOVERY_100,2023-09-07,LB_20230907_093117_SELL_0001,B_CLEAN_BREAKOUT,SELL,2023-09-07T00:00:00.000000Z,2023-09-07T13:31:18.033000Z,13.521675833333337,0.294929949939
