concept,action,train_end,test_start,test_end,threshold,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
FADE_iceberg_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_edge_rejection,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_edge_rejection,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_edge_rejection,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_edge_rejection,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_edge_rejection,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_edge_rejection,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_edge_rejection,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_open_auction,FADE,2025-07-08,2025-07-09,2025-09-02,0.038157993180013484,30,20,10,0.6666666666666666,2.0,1.75,0.4878005164454384
FADE_open_auction,FADE,2025-09-02,2025-09-03,2025-10-29,0.052125593651283324,25,13,12,0.52,1.0833333333333333,0.9479166666666666,0.3349851695035678
FADE_open_auction,FADE,2025-10-29,2025-10-30,2025-12-26,0.05054114501122382,26,8,18,0.3076923076923077,0.4444444444444444,0.3888888888888889,0.1650131559546377
FADE_open_auction,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_open_auction,FADE,2026-02-23,2026-02-24,2026-04-22,0.052125593651283324,25,7,18,0.28,0.3888888888888889,0.3402777777777778,0.14283853850956563
FADE_open_auction,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_open_auction,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_value_acceptance,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_value_acceptance,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_value_acceptance,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_value_acceptance,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_value_acceptance,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_value_acceptance,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_value_acceptance,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_exhaustion,FADE,2025-07-08,2025-07-09,2025-09-02,-3.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_exhaustion,FADE,2025-09-02,2025-09-03,2025-10-29,-3.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
