date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2024-05-15,2024,-4,EDT_SEEN,2024-05-15T13:32:10+00:00,18517.75,18492.5,5295.5,5292.25,2024-05-15T13:32:09+00:00,1.0,5296.75,True,-60.0,-64.0,-61.0,-65.0,SL
2024-05-20,2024,-4,EDT_SEEN,2024-05-20T13:31:04+00:00,18647.25,18635.25,5329.5,5326.75,2024-05-20T13:31:03+00:00,1.0,5330.25,True,60.0,56.0,-29.0,-33.0,TP
2024-05-22,2024,-4,EDT_SEEN,2024-05-22T13:31:09+00:00,18816.5,18805.5,5339.5,5337.25,2024-05-22T13:31:08+00:00,1.0,5339.0,False,-60.0,-64.0,-62.0,-66.0,SL
2024-05-24,2024,-4,EDT_SEEN,2024-05-24T13:34:22+00:00,18764.5,18733.0,5305.5,5300.0,2024-05-24T13:34:21+00:00,1.0,5303.25,False,-60.0,-64.0,-65.0,-69.0,SL
2024-05-28,2024,-4,EDT_SEEN,2024-05-28T13:31:04+00:00,18924.75,18913.75,5330.25,5326.75,2024-05-28T13:31:03+00:00,1.0,5328.5,False,-60.0,-64.0,-62.0,-66.0,SL
2024-05-29,2024,-4,EDT_SEEN,2024-05-29T13:31:00+00:00,18798.25,18761.0,5284.75,5281.0,2024-05-29T13:30:59+00:00,1.0,5284.75,False,-60.0,-64.0,-63.0,-67.0,SL
2024-06-12,2024,-4,EDT_SEEN,2024-06-12T13:31:43+00:00,19406.25,19374.75,5431.5,5426.0,2024-06-12T13:31:42+00:00,1.0,5430.5,False,60.0,56.0,-24.0,-28.0,TP
2024-06-13,2024,-4,EDT_SEEN,2024-06-13T13:32:04+00:00,19642.75,19628.0,5444.75,5440.25,2024-06-13T13:32:03+00:00,1.0,5440.25,False,-60.0,-64.0,-66.0,-70.0,SL
2024-06-14,2024,-4,EDT_SEEN,2024-06-14T13:31:10+00:00,19583.25,19573.0,5420.75,5417.25,2024-06-14T13:31:09+00:00,1.0,5419.25,False,-60.0,-64.0,-64.0,-68.0,SL
2024-06-17,2024,-4,EDT_SEEN,2024-06-17T13:31:11+00:00,19703.25,19688.25,5430.25,5427.75,2024-06-17T13:31:10+00:00,1.0,5428.75,False,-60.0,-64.0,-62.0,-66.0,SL
2024-06-18,2024,-4,EDT_SEEN,2024-06-18T13:31:21+00:00,19920.75,19907.0,5482.0,5478.75,2024-06-18T13:31:20+00:00,1.0,5480.75,False,60.0,56.0,-10.0,-14.0,TP
2024-06-24,2024,-4,EDT_SEEN,2024-06-24T13:31:17+00:00,19925.0,19909.0,5532.25,5529.25,2024-06-24T13:31:16+00:00,1.0,5531.5,False,60.0,56.0,-25.0,-29.0,TP
2024-06-25,2024,-4,EDT_SEEN,2024-06-25T13:31:00+00:00,19833.5,19813.0,5528.25,5521.25,2024-06-25T13:30:59+00:00,1.0,5525.25,False,-60.0,-64.0,-61.0,-65.0,SL
2024-06-26,2024,-4,EDT_SEEN,2024-06-26T13:31:33+00:00,19937.0,19921.25,5524.0,5520.75,2024-06-26T13:31:32+00:00,1.0,5519.25,False,-60.0,-64.0,-60.0,-64.0,SL
2024-06-27,2024,-4,EDT_SEEN,2024-06-27T13:31:00+00:00,20016.0,19989.75,5541.75,5538.5,2024-06-27T13:30:59+00:00,1.0,5541.75,False,60.0,56.0,-29.0,-33.0,TP
2024-07-01,2024,-4,EDT_SEEN,2024-07-01T13:31:17+00:00,19971.75,19945.75,5537.25,5532.75,2024-07-01T13:31:16+00:00,1.0,5537.0,False,-60.0,-64.0,-66.0,-70.0,SL
2024-07-02,2024,-4,EDT_SEEN,2024-07-02T13:31:20+00:00,19991.75,19976.75,5517.5,5515.0,2024-07-02T13:31:19+00:00,1.0,5517.0,False,60.0,56.0,-9.0,-13.0,TP
2024-07-03,2024,-4,EDT_SEEN,2024-07-03T13:31:31+00:00,20244.75,20216.0,5569.25,5563.75,2024-07-03T13:31:30+00:00,1.0,5569.5,True,60.0,56.0,-7.0,-11.0,TP
2024-07-05,2024,-4,EDT_SEEN,2024-07-05T13:31:06+00:00,20461.75,20440.25,5592.75,5590.25,2024-07-05T13:31:05+00:00,1.0,5591.75,False,60.0,56.0,-52.0,-56.0,TP
2024-07-09,2024,-4,EDT_SEEN,2024-07-09T13:31:04+00:00,20732.5,20721.25,5637.25,5635.25,2024-07-09T13:31:03+00:00,1.0,5635.75,False,60.0,56.0,-41.0,-45.0,TP
2024-07-10,2024,-4,EDT_SEEN,2024-07-10T13:31:16+00:00,20765.75,20750.25,5645.75,5643.0,2024-07-10T13:31:15+00:00,1.0,5644.75,False,-60.0,-64.0,-63.0,-67.0,SL
2024-07-12,2024,-4,EDT_SEEN,2024-07-12T13:31:00+00:00,20460.25,20429.25,5646.25,5642.5,2024-07-12T13:30:59+00:00,1.0,5646.25,False,-60.0,-64.0,-61.0,-65.0,SL
2024-07-17,2024,-4,EDT_SEEN,2024-07-17T13:31:03+00:00,20261.0,20240.25,5661.5,5655.25,2024-07-17T13:31:02+00:00,1.0,5660.5,False,-60.0,-64.0,-69.0,-73.0,SL
2024-07-24,2024,-4,EDT_SEEN,2024-07-24T13:31:20+00:00,19650.5,19625.5,5551.25,5546.5,2024-07-24T13:31:19+00:00,1.0,5551.5,True,-60.0,-64.0,-62.0,-66.0,SL
2024-07-30,2024,-4,EDT_SEEN,2024-07-30T13:31:18+00:00,19292.75,19255.25,5518.5,5513.5,2024-07-30T13:31:17+00:00,1.0,5518.75,True,-60.0,-64.0,-68.0,-72.0,SL
2024-08-05,2024,-4,EDT_SEEN,2024-08-05T13:31:10+00:00,17590.25,17509.25,5161.5,5146.0,2024-08-05T13:31:09+00:00,1.0,5157.25,False,-60.0,-64.0,-60.0,-64.0,SL
