experiment,feature_set,feature,mechanism_family,mean_abs_shap_oos,spearman_value_vs_shap_oos,median_shap_A_minus_B_oos,coverage_oos_pct,importance_rank
THROUGH_2025_TO_2026,BURST_MECHANISM,PeakNegativeDelta,BURST_INTENSITY,0.16097288984058594,-0.861050069922808,0.2783614403481024,100.0,2
THROUGH_2025_TO_2026,BURST_MECHANISM,Dist_VAH_Ticks,BURST_INTENSITY,0.12650133631526697,0.6272727272727273,0.0210780322916772,100.0,3
THROUGH_2025_TO_2026,BURST_MECHANISM,PreBurst_Local_Entropy_10s,BURST_INTENSITY,0.10747595492754577,0.6857870317170202,0.12653250166659957,100.0,4
THROUGH_2025_TO_2026,BURST_MECHANISM,Flow_1_3_CounterflowShare,FLOW_PERSISTENCE,0.09227906632730498,0.8272727272727273,0.023989172886841104,100.0,5
THROUGH_2025_TO_2026,BURST_MECHANISM,BuySellRatio,BURST_INTENSITY,0.07415883186909142,-0.27272727272727276,0.004118193706345717,100.0,6
THROUGH_2025_TO_2026,BURST_MECHANISM,Realized_Volatility_60s_Ticks,BURST_INTENSITY,0.06695743095886826,0.8727272727272729,-0.016114705882400313,100.0,7
THROUGH_2025_TO_2026,BURST_MECHANISM,Delta10s,BURST_INTENSITY,0.059624479012757844,-0.5,-0.02683687436652748,100.0,8
THROUGH_2025_TO_2026,BURST_MECHANISM,Profile_Skewness,AUCTION_CONTEXT,0.056859813482468956,-0.19590028045862823,-0.0005146207260316241,100.0,9
THROUGH_2025_TO_2026,BURST_MECHANISM,Dist_VAL_Ticks,BURST_INTENSITY,0.05434460272939343,0.8291593265923335,-0.02218416450085256,100.0,10
THROUGH_2025_TO_2026,BURST_MECHANISM,Velocity_Retention_1_3,FLOW_PERSISTENCE,0.05204896668851873,0.8424242424242423,-0.022279499234284943,90.9090909090909,11
THROUGH_2025_TO_2026,BURST_MECHANISM,Realized_Volatility_30s_Ticks,BURST_INTENSITY,0.0486249095894203,0.48747279090867957,-0.012316616345803798,100.0,12
THROUGH_2025_TO_2026,BURST_MECHANISM,Pre_Approach_Velocity_TPS,CROSSING_ANATOMY,0.04845508535646891,0.8041925145631869,-0.09388398291627932,100.0,13
THROUGH_2025_TO_2026,BURST_MECHANISM,Profile_Normalized_Entropy,AUCTION_CONTEXT,0.048426035084110294,-0.346242356159436,-0.009259034061641743,100.0,14
THROUGH_2025_TO_2026,BURST_MECHANISM,Prior_Level_Touches_60s,LEVEL_MEMORY,0.043613949042254914,-0.8987033990645797,-0.010286193693201356,100.0,15
THROUGH_2025_TO_2026,BURST_MECHANISM,Short_Long_Volatility_Ratio,BURST_INTENSITY,0.04282972141009513,0.6818181818181819,0.005221811978679998,100.0,16
