setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
regime=OR_large AND score>=6 | TP=200 SL=70,regime=OR_large AND score>=6,200,70,188,61.170212765957444,1.641318124207858,8.074468085106384,1518.0,243.0,24.76063829787234,20.159574468085108,1.0418802005841186,36.771949132879286,107,1.771067415730337,10.261682242990654,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0084097972029817,2.181653650554203,0.48395591332546123,0.8200297541056408,11,51.8411835079937
regime=OR_large AND score>=8 | TP=50 SL=50,regime=OR_large AND score>=8,50,50,143,63.63636363636363,1.782108626198083,8.55944055944056,1224.0,120.0,25.41958041958042,18.496503496503497,1.0183477863989046,31.897640510033924,79,1.9144144144144144,10.278481012658228,64,1.6085672082717872,6.4375,32,0.8530701754385965,0.8772824627892069,2.149768907855453,0.46823460136445416,0.693774692275738,12,51.75078269310429
or_regime=OR_large | TP=120 SL=50,or_regime=OR_large,120,50,192,60.416666666666664,1.6569468267581475,7.979166666666667,1532.0,193.0,24.713541666666668,19.84375,1.0855858520139587,35.24067710561375,108,1.6940766550522648,9.222222222222221,84,1.5975473801560758,6.380952380952381,34,1.1385714285714288,1.0115604506961489,2.220460315314797,0.4782348564644704,0.8212547948909115,11,51.69211100489973
or_regime=OR_large | TP=150 SL=50,or_regime=OR_large,150,50,192,60.416666666666664,1.6569468267581475,7.979166666666667,1532.0,193.0,24.713541666666668,19.84375,1.0855858520139587,35.24067710561375,108,1.6940766550522648,9.222222222222221,84,1.5975473801560758,6.380952380952381,34,1.1385714285714288,1.0115604506961489,2.220460315314797,0.4782348564644704,0.8212547948909115,11,51.69211100489973
or_regime=OR_large | TP=200 SL=50,or_regime=OR_large,200,50,192,60.416666666666664,1.6569468267581475,7.979166666666667,1532.0,193.0,24.713541666666668,19.84375,1.0855858520139587,35.24067710561375,108,1.6940766550522648,9.222222222222221,84,1.5975473801560758,6.380952380952381,34,1.1385714285714288,1.0115604506961489,2.220460315314797,0.4782348564644704,0.8212547948909115,11,51.69211100489973
regime=OR_large AND score>=6 | TP=80 SL=60,regime=OR_large AND score>=6,80,60,188,61.170212765957444,1.6427052318162485,8.037234042553191,1511.0,243.0,24.76063829787234,20.159574468085108,1.0427607123703142,36.32597068653862,107,1.7748579545454546,10.19626168224299,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.0078214610691811,2.1849886718906397,0.48395591332546123,0.8200297541056408,11,51.59664470972677
or_regime=OR_large | TP=60 SL=100,or_regime=OR_large,60,100,192,61.979166666666664,1.6187707641196014,7.760416666666667,1490.0,223.0,24.713541666666668,19.84375,0.9930274435355536,36.22392394252818,108,1.679863481228669,9.222222222222221,84,1.5238600212089077,5.880952380952381,34,1.2682926829268293,1.001640444093191,2.1152761823455326,0.4715505420063111,0.8212547948909115,10,51.05565303342364
regime=OR_large AND score>=6 | TP=100 SL=40,regime=OR_large AND score>=6,100,40,188,58.51063829787234,1.6752886836027714,7.776595744680851,1462.0,183.0,24.76063829787234,20.159574468085108,1.1879319756456017,33.17306885773431,107,1.7035364936042137,8.738317757009346,81,1.6303827751196172,6.506172839506172,34,1.3091463414634146,0.9964586144787028,2.175417075162308,0.4948373285820414,0.8200297541056408,11,51.0529453473718
regime=OR_large AND score>=7 | TP=50 SL=40,regime=OR_large AND score>=7,50,40,152,61.18421052631579,1.7586206896551724,8.105263157894736,1232.0,164.0,25.32894736842105,19.638157894736842,1.1156840934371524,30.497672888040462,84,1.8909691629955947,9.630952380952381,68,1.5907821229050279,6.220588235294118,32,1.0528846153846154,0.9271652155212121,2.1003926063613276,0.4897573854351903,0.7174254748383977,11,51.0246420514072
regime=OR_large AND score>=6 | TP=120 SL=40,regime=OR_large AND score>=6,120,40,188,58.51063829787234,1.6734411085450347,7.75531914893617,1458.0,183.0,24.76063829787234,20.159574468085108,1.1866218769682975,33.114833799139895,107,1.7005267118133935,8.700934579439252,81,1.6303827751196172,6.506172839506172,34,1.3091463414634146,0.996911877955621,2.1772166093222194,0.4948373285820414,0.8200297541056408,11,50.83097368282916
