fecha,window_start_utc,window_end_utc_exclusive,has_p0,event_count,valid
2022-10-11,2022-10-11T13:29:15+00:00,2022-10-11T13:29:20+00:00,True,38,True
2022-10-11,2022-10-11T13:29:20+00:00,2022-10-11T13:29:25+00:00,True,27,True
2022-10-11,2022-10-11T13:29:25+00:00,2022-10-11T13:29:30+00:00,True,53,True
2022-10-11,2022-10-11T13:29:30+00:00,2022-10-11T13:29:35+00:00,True,23,True
2022-10-11,2022-10-11T13:29:35+00:00,2022-10-11T13:29:40+00:00,True,24,True
2022-10-11,2022-10-11T13:29:40+00:00,2022-10-11T13:29:45+00:00,True,20,True
2022-10-11,2022-10-11T13:29:45+00:00,2022-10-11T13:29:50+00:00,True,36,True
2022-10-11,2022-10-11T13:29:50+00:00,2022-10-11T13:29:55+00:00,True,37,True
2022-10-11,2022-10-11T13:29:55+00:00,2022-10-11T13:30:00+00:00,True,77,True
2022-10-18,2022-10-18T13:29:00+00:00,2022-10-18T13:29:05+00:00,True,72,True
2022-10-18,2022-10-18T13:29:05+00:00,2022-10-18T13:29:10+00:00,True,33,True
2022-10-18,2022-10-18T13:29:10+00:00,2022-10-18T13:29:15+00:00,True,44,True
2022-10-18,2022-10-18T13:29:15+00:00,2022-10-18T13:29:20+00:00,True,46,True
2022-10-18,2022-10-18T13:29:20+00:00,2022-10-18T13:29:25+00:00,True,44,True
2022-10-18,2022-10-18T13:29:25+00:00,2022-10-18T13:29:30+00:00,True,27,True
2022-10-18,2022-10-18T13:29:30+00:00,2022-10-18T13:29:35+00:00,True,55,True
2022-10-18,2022-10-18T13:29:35+00:00,2022-10-18T13:29:40+00:00,True,38,True
2022-10-18,2022-10-18T13:29:40+00:00,2022-10-18T13:29:45+00:00,True,35,True
2022-10-18,2022-10-18T13:29:45+00:00,2022-10-18T13:29:50+00:00,True,66,True
2022-10-18,2022-10-18T13:29:50+00:00,2022-10-18T13:29:55+00:00,True,80,True
2022-10-18,2022-10-18T13:29:55+00:00,2022-10-18T13:30:00+00:00,True,160,True
2022-10-18,2022-10-18T13:30:00+00:00,2022-10-18T13:30:05+00:00,True,1124,True
2022-10-18,2022-10-18T13:30:05+00:00,2022-10-18T13:30:10+00:00,True,417,True
2022-10-18,2022-10-18T13:30:10+00:00,2022-10-18T13:30:15+00:00,True,400,True
2022-10-18,2022-10-18T13:30:15+00:00,2022-10-18T13:30:20+00:00,True,328,True
2022-10-18,2022-10-18T13:30:20+00:00,2022-10-18T13:30:25+00:00,True,268,True
2022-10-18,2022-10-18T13:30:25+00:00,2022-10-18T13:30:30+00:00,True,252,True
2022-10-18,2022-10-18T13:30:30+00:00,2022-10-18T13:30:35+00:00,True,343,True
2022-10-18,2022-10-18T13:30:35+00:00,2022-10-18T13:30:40+00:00,True,288,True
2022-10-18,2022-10-18T13:30:40+00:00,2022-10-18T13:30:45+00:00,True,303,True
2022-10-18,2022-10-18T13:30:45+00:00,2022-10-18T13:30:50+00:00,True,182,True
2022-10-18,2022-10-18T13:30:50+00:00,2022-10-18T13:30:55+00:00,True,281,True
2022-10-25,2022-10-25T13:29:00+00:00,2022-10-25T13:29:05+00:00,True,27,True
2022-10-25,2022-10-25T13:29:05+00:00,2022-10-25T13:29:10+00:00,True,57,True
2022-10-25,2022-10-25T13:29:10+00:00,2022-10-25T13:29:15+00:00,True,56,True
2022-10-25,2022-10-25T13:29:15+00:00,2022-10-25T13:29:20+00:00,True,43,True
2022-10-25,2022-10-25T13:29:20+00:00,2022-10-25T13:29:25+00:00,True,55,True
2022-10-25,2022-10-25T13:29:25+00:00,2022-10-25T13:29:30+00:00,True,36,True
2022-10-25,2022-10-25T13:29:30+00:00,2022-10-25T13:29:35+00:00,True,47,True
2022-10-25,2022-10-25T13:29:35+00:00,2022-10-25T13:29:40+00:00,True,37,True
2022-10-25,2022-10-25T13:29:40+00:00,2022-10-25T13:29:45+00:00,True,46,True
2022-10-25,2022-10-25T13:29:45+00:00,2022-10-25T13:29:50+00:00,True,64,True
2022-10-25,2022-10-25T13:29:50+00:00,2022-10-25T13:29:55+00:00,True,57,True
2022-10-25,2022-10-25T13:29:55+00:00,2022-10-25T13:30:00+00:00,True,107,True
2022-10-25,2022-10-25T13:30:00+00:00,2022-10-25T13:30:05+00:00,True,750,True
2022-10-25,2022-10-25T13:30:05+00:00,2022-10-25T13:30:10+00:00,True,298,True
2022-10-25,2022-10-25T13:30:10+00:00,2022-10-25T13:30:15+00:00,True,408,True
2022-10-25,2022-10-25T13:30:15+00:00,2022-10-25T13:30:20+00:00,True,296,True
2022-10-26,2022-10-26T13:29:00+00:00,2022-10-26T13:29:05+00:00,True,33,True
